First_Name Middle_Name,Family_Name,Category,Primary Affiliation,Secondary Affiliations,Researcher ID URL,RID
Hans-Christoph,Diener,Clinical Medicine,"University of Duisburg-Essen, Germany",,,
Hans-Dieter,Daniel,"Social Sciences, general","Swiss Federal Institute of Technology Zurich, Switzerland",,http://www.researcherid.com/rid/A-2419-2013,A-2419-2013
Hansjuerg,Alder,Clinical Medicine,"The Ohio State University - Columbus, USA",,,
Hans-Juergen,Moeller,Psychiatry/Psychology,"University of Munich, Germany",,,
Hansruedi,Siegrist,Environment/Ecology,"EAWAG, Switzerland",,,
Hans-Walter,Rix,Space Science,"Max Planck Inst Astron, Germany",,,
Harald,Hoppe,Materials Science,"Technische Universität Ilmenau, Ilmenau University of Technology, Germany",,http://www.researcherid.com/rid/P-5293-2014,P-5293-2014
Harlan M,Krumholz,Clinical Medicine,"Yale University, USA","Yale-New Haven Hospital, USA",,
Harren,Jhoti,Pharmacology & Toxicology,"Astex Pharmaceut, UK",,,
Harro J,Bouwmeester,Plant & Animal Science,"Ctr Biosyst Genom, Netherlands","University of Wageningen, Netherlands",,
Harry,Campbell,Molecular Biology & Genetics,"The University of Edinburgh, UK",,,
Harry A,Atwater,Physics,"CALTECH (California Institute of Technology), United States",,http://www.researcherid.com/rid/H-2823-2014,H-2823-2014
Hartmut,Doehner,Clinical Medicine,"University of Ulm, Germany",,,
Harvey D,White,Clinical Medicine,"Auckland City Hosp, New Zealand",,,
Hashem B,El-Serag,Clinical Medicine,"Baylor College of Medicine, USA","Michael E DeBakey VA Med Ctr, USA",,
Hassan Ali,Zamani,Engineering,"Islamic Azad University, Iran",,,
Havva,Balat,Engineering,"University Mah, Turkey",,,
He,Tian,Chemistry,"East China University of Science and Technology, China",,,
He,Tian,Materials Science,"East China University of Science and Technology, China",,,
Hean,Koo,Microbiology,"Pillsbury, USA",,,
Heather A,Turner,"Social Sciences, general","University of New Hampshire - Durham, USA",,,
Heather M,Stapleton,Environment/Ecology,"Duke University, USA",,,
Heather M,Stringham,Molecular Biology & Genetics,"University of Michigan - Ann Arbor, USA",,,
Heidi Jo,Newberg,Space Science,"Rensselaer Polytechnic Institute, United States",,http://www.researcherid.com/rid/H-2730-2014,H-2730-2014
Heike,Wulff,Pharmacology & Toxicology,"University of California, Davis, USA",,,
Heiko,Braak,Neuroscience & Behavior,"University of Ulm, Germany",,,
Helgi B,Schioth,Pharmacology & Toxicology,"Uppsala University, Sweden",,,
Helmut,Bolcskei,Computer Science,"ETH Zurich (Swiss Federal Institute of Technology Zurich, Switzerland",,http://www.researcherid.com/rid/B-3937-2011,B-3937-2011
Helmut,Drexler,Clinical Medicine,"Hannover Medical School, Germany",,,
Helmut,Hillebrand,Environment/Ecology,"University of Oldenburg, Germany",,,
